obj_zipCode,listing_count,Unnamed: 0,obj_serviceCharge,obj_cId,obj_picturecount,obj_pricetrend,obj_totalRent,obj_yearConstructed,obj_pricetrendbuy,obj_scoutId,obj_noParkSpaces,obj_yearConstructedRange,obj_baseRent,obj_pricetrendrent,obj_livingSpace,obj_baseRentRange,geo_plz,obj_noRooms,obj_floor,obj_numberOfFloors,obj_noRoomsRange,obj_livingSpaceRange,obj_lastRefurbish,obj_thermalChar,obj_heatingCosts,obj_groupnumber,obj_project_id
10115,57,30311.0,202.87,3249144.0,13.0,5.91,1589.375,2016.0,10.66,116423807.0,1.0,9.0,1365.0,5.91,73.0,7.0,10115.0,2.0,2.0,5.0,2.0,3.0,2018.0,111.4,99.03,7.0,
10117,50,37227.0,312.0,15345276.0,12.0,5.91,2150.0,2015.0,10.66,116147996.5,1.0,8.0,1800.0,5.91,106.91499999999999,8.0,10117.0,3.0,4.0,5.0,3.0,5.0,2018.0,87.65,112.0,5.0,
10119,13,30332.0,200.0,17780329.0,10.0,6.11,1774.0,1900.0,10.74,115812292.0,,1.0,1750.0,6.11,86.0,8.0,10119.0,3.0,4.0,5.0,3.0,4.0,2020.0,132.0,101.78,27.0,
10178,21,18061.0,500.0,15809298.0,10.0,5.91,2255.45,2005.0,10.66,117089113.0,2.0,6.0,1787.0,5.91,119.0,8.0,10178.0,3.0,6.0,8.0,3.0,5.0,2018.0,67.9,200.0,13.0,
10179,59,28150.0,233.0,16514783.0,11.0,5.92,1792.0,2019.0,10.66,116752973.0,1.0,9.0,1500.0,5.92,77.03,7.0,10179.0,3.0,2.0,6.0,3.0,3.0,2019.5,64.1,67.0,90081.0,87441.0
10197,2,24805.5,228.0,18620570.0,12.5,5.92,1920.5,2019.0,10.66,117011098.5,1.0,9.0,1692.5,5.92,70.35,8.0,10197.0,2.5,6.0,7.0,2.5,3.0,,,,,
10243,15,15842.0,132.5,15970219.0,10.0,7.53,1100.0,1986.0,11.35,116706488.0,1.0,4.0,950.0,7.53,52.97,6.0,10243.0,2.0,3.0,6.0,2.0,2.0,2017.0,83.7,40.0,4.0,
10245,44,42550.0,245.0,16400738.5,12.0,7.53,1889.5900000000001,2018.0,11.35,116439819.5,1.0,9.0,1613.325,7.53,85.86,8.0,10245.0,3.0,4.0,5.0,3.0,4.0,2019.0,73.0,92.05,4.0,
10247,18,30760.5,235.0,8210762.0,8.5,7.53,1230.0,1954.0,11.35,116471584.5,1.0,3.0,1051.5,7.53,70.515,7.0,10247.0,2.0,3.0,5.0,2.0,3.0,2017.5,72.1,132.76,3.0,
10249,10,23302.0,101.2,612691.5,14.0,7.53,1150.0,1914.0,11.35,117030048.0,0.0,1.0,1190.0,7.53,64.01,7.0,10249.0,2.0,3.0,6.0,2.0,2.5,2019.5,125.0,53.019999999999996,0.5,
10315,39,35415.0,136.34,146060.0,9.0,6.16,993.96,2019.0,12.14,116702886.0,1.0,9.0,845.54,6.16,57.96,6.0,10315.0,2.0,4.0,4.0,2.0,2.0,,30.0,75.0,21.0,88028.0
10317,10,14905.0,161.0,16495977.5,9.0,7.13,1310.0,2007.0,11.42,116512232.0,1.0,7.0,1130.0,7.13,70.205,7.0,10317.0,2.0,2.0,5.0,2.0,3.0,2018.0,84.85499999999999,50.0,21.0,
10318,15,19845.0,113.0,16800035.0,3.0,5.51,699.0,2019.0,10.7,117066067.0,1.0,9.0,592.0,5.51,42.92,4.0,10318.0,1.0,1.0,5.0,1.0,2.0,2020.0,52.4,52.14,,
10319,7,2315.0,145.0,5366175.0,2.0,6.2,541.95,1975.0,12.14,117359407.0,,3.0,391.93,6.2,68.0,2.0,10319.0,3.0,3.0,9.0,3.0,3.0,,93.26,105.0,,
10365,7,60671.0,366.0,523356.0,23.0,7.13,1760.0,1895.0,11.42,115666175.0,1.0,1.0,1470.0,7.13,105.0,7.0,10365.0,3.0,4.0,4.0,3.0,5.0,2019.0,54.5,,5.0,
10367,7,65807.0,174.0,618639.0,13.0,7.08,1668.8,2019.0,11.42,115416322.0,1.0,9.0,1382.72,7.08,95.36,7.0,10367.0,3.5,4.0,6.0,3.0,4.0,2020.0,51.0,83.7,154.0,
10369,3,42122.0,165.0,2526051.0,12.0,7.13,1004.5,1980.0,11.42,116646027.0,,3.0,839.5,7.13,55.67,6.0,10369.0,2.0,3.0,3.0,2.0,2.0,,72.28,70.0,,
10405,8,56758.5,200.0,17066061.0,13.5,6.54,1784.63,1914.0,10.95,115937524.0,0.0,1.0,1550.0,6.54,49.95,7.5,10405.0,2.0,2.0,6.0,2.0,2.0,2019.0,76.2,50.0,,
10407,5,40145.0,104.21,15314142.0,10.0,6.54,1289.5,1912.0,10.95,115622350.0,,1.0,1188.0,6.54,66.0,7.0,10407.0,2.0,3.0,5.0,2.0,3.0,2018.0,125.0,1.0,,
10409,5,34888.0,111.0,16528280.0,10.0,6.54,1064.0,1911.0,10.95,116880759.0,0.0,1.0,824.0,6.54,74.88,6.0,10409.0,3.0,4.0,5.0,3.0,3.0,2019.0,130.2,94.5,21.0,
10435,8,23082.5,476.8,9961499.0,10.5,6.54,3103.0,2004.0,10.95,117031023.0,,6.0,2570.0,6.54,115.35,9.0,10435.0,3.0,2.5,5.0,3.0,5.0,2019.0,116.9,,12.0,73383.0
10437,5,16838.0,130.0,15314142.0,8.0,6.54,1300.0,1904.0,10.95,117108330.0,1.0,1.0,1260.0,6.54,68.0,7.0,10437.0,2.0,3.0,5.0,2.0,3.0,2019.0,101.0,80.0,2.0,
10439,26,26937.5,229.5,5257667.0,10.0,6.58,2245.0,2018.0,10.95,116771317.0,1.0,9.0,1984.0,6.58,118.185,8.0,10439.0,3.0,3.0,5.0,3.0,5.5,2018.0,79.0,100.0,500.0,
10551,10,16072.5,200.0,12388584.0,14.5,7.57,2499.0,1900.0,12.7,117118091.5,1.0,1.0,1500.0,7.57,106.255,7.5,10551.0,2.75,3.0,5.0,2.5,5.0,2020.0,98.6,122.5,3.0,
10553,5,34520.0,170.5,15452152.0,8.0,7.58,842.45,1892.0,12.7,116885528.0,,1.0,815.0,7.58,70.88,6.0,10553.0,2.0,1.5,5.0,2.0,3.0,2020.0,77.535,85.0,4711.0,
